neighborhood_mean,neighborhood
6.796163069544365,Allston
6.275996112730807,Allston / Brighton
6.805792338502619,Back Bay
7.923076923076923,Beacon Hill
6.976805949008498,Boston
7.039119804400978,Brighton
8.7338504577823,Charlestown
4.117647058823529,Chestnut Hill
7.80894957734823,Dorchester
6.94489522960321,Downtown / Financial District
8.895958437352405,East Boston
8.156857060017396,Fenway / Kenmore / Audubon Circle / Longwood
8.084338624338624,Greater Mattapan
11.55770902138015,Hyde Park
6.823889739663094,Jamaica Plain
7.208542713567839,Mattapan
5.750145095763203,Mission Hill
6.401287271771969,Roslindale
5.858573094867807,Roxbury
3.4566582914572863,South Boston
4.399105196741998,South Boston / South Boston Waterfront
5.17442088091354,South End
6.549248969825867,West Roxbury
